"sampleNo","DateTime","temp","raw_mV","pH","transect","plot","tidal"
168,2023-03-11 07:19:00,20.91,148.83,4.09,"Old","1","supratidal"
169,2023-03-11 07:34:00,20.91,148.77,4.09,"Old","1","supratidal"
170,2023-03-11 07:49:00,20.91,148.75,4.1,"Old","1","supratidal"
171,2023-03-11 08:04:00,20.91,148.68,4.1,"Old","1","supratidal"
172,2023-03-11 08:19:00,20.91,148.61,4.1,"Old","1","supratidal"
173,2023-03-11 08:34:00,20.91,148.54,4.1,"Old","1","supratidal"
174,2023-03-11 08:49:00,20.94,148.49,4.1,"Old","1","supratidal"
175,2023-03-11 09:04:00,20.94,148.43,4.1,"Old","1","supratidal"
176,2023-03-11 09:19:00,20.94,148.36,4.1,"Old","1","supratidal"
177,2023-03-11 09:34:00,20.94,148.3,4.1,"Old","1","supratidal"
178,2023-03-11 09:49:00,20.94,148.22,4.11,"Old","1","supratidal"
179,2023-03-11 10:04:00,20.94,148.15,4.11,"Old","1","supratidal"
180,2023-03-11 10:19:00,20.94,148.08,4.11,"Old","1","supratidal"
181,2023-03-11 10:34:00,20.94,148.02,4.11,"Old","1","supratidal"
182,2023-03-11 10:49:00,20.94,147.96,4.11,"Old","1","supratidal"
183,2023-03-11 11:04:00,20.94,147.9,4.11,"Old","1","supratidal"
184,2023-03-11 11:19:00,20.96,147.82,4.11,"Old","1","supratidal"
185,2023-03-11 11:34:00,20.96,147.77,4.11,"Old","1","supratidal"
186,2023-03-11 11:49:00,20.96,147.69,4.12,"Old","1","supratidal"
187,2023-03-11 12:04:00,20.96,147.65,4.12,"Old","1","supratidal"
188,2023-03-11 12:19:00,20.96,147.58,4.12,"Old","1","supratidal"
189,2023-03-11 12:34:00,20.96,147.5,4.12,"Old","1","supratidal"
190,2023-03-11 12:49:00,20.94,147.43,4.12,"Old","1","supratidal"
191,2023-03-11 13:04:00,20.94,147.38,4.12,"Old","1","supratidal"
192,2023-03-11 13:19:00,20.94,147.3,4.12,"Old","1","supratidal"
193,2023-03-11 13:34:00,20.94,147.27,4.12,"Old","1","supratidal"
194,2023-03-11 13:49:00,20.94,147.21,4.12,"Old","1","supratidal"
195,2023-03-11 14:04:00,20.94,147.13,4.13,"Old","1","supratidal"
196,2023-03-11 14:19:00,20.94,147.08,4.13,"Old","1","supratidal"
197,2023-03-11 14:34:00,20.94,147.02,4.13,"Old","1","supratidal"
198,2023-03-11 14:49:00,20.94,146.96,4.13,"Old","1","supratidal"
199,2023-03-11 15:04:00,20.94,146.9,4.13,"Old","1","supratidal"
200,2023-03-11 15:19:00,20.94,146.82,4.13,"Old","1","supratidal"
201,2023-03-11 15:34:00,20.94,146.77,4.13,"Old","1","supratidal"
202,2023-03-11 15:49:00,20.94,146.71,4.13,"Old","1","supratidal"
203,2023-03-11 16:04:00,20.94,146.65,4.13,"Old","1","supratidal"
204,2023-03-11 16:19:00,20.94,146.6,4.14,"Old","1","supratidal"
205,2023-03-11 16:34:00,20.94,146.54,4.14,"Old","1","supratidal"
206,2023-03-11 16:49:00,20.94,146.47,4.14,"Old","1","supratidal"
207,2023-03-11 17:04:00,20.94,146.4,4.14,"Old","1","supratidal"
208,2023-03-11 17:19:00,20.94,146.36,4.14,"Old","1","supratidal"
209,2023-03-11 17:34:00,20.91,146.3,4.14,"Old","1","supratidal"
210,2023-03-11 17:49:00,20.91,146.24,4.14,"Old","1","supratidal"
211,2023-03-11 18:04:00,20.91,146.15,4.14,"Old","1","supratidal"
212,2023-03-11 18:19:00,20.91,146.07,4.14,"Old","1","supratidal"
213,2023-03-11 18:34:00,20.91,146,4.15,"Old","1","supratidal"
214,2023-03-11 18:49:00,20.91,145.94,4.15,"Old","1","supratidal"
215,2023-03-11 19:04:00,20.91,145.93,4.15,"Old","1","supratidal"
216,2023-03-11 19:19:00,20.91,145.86,4.15,"Old","1","supratidal"
217,2023-03-11 19:34:00,20.91,145.79,4.15,"Old","1","supratidal"
218,2023-03-11 19:49:00,20.91,145.72,4.15,"Old","1","supratidal"
219,2023-03-11 20:04:00,20.91,145.68,4.15,"Old","1","supratidal"
220,2023-03-11 20:19:00,20.91,145.61,4.15,"Old","1","supratidal"
221,2023-03-11 20:34:00,20.91,145.55,4.15,"Old","1","supratidal"
222,2023-03-11 20:49:00,20.91,145.49,4.16,"Old","1","supratidal"
223,2023-03-11 21:04:00,20.91,145.43,4.16,"Old","1","supratidal"
224,2023-03-11 21:19:00,20.91,145.38,4.16,"Old","1","supratidal"
225,2023-03-11 21:34:00,20.91,145.29,4.16,"Old","1","supratidal"
226,2023-03-11 21:49:00,20.91,145.24,4.16,"Old","1","supratidal"
227,2023-03-11 22:04:00,20.91,145.21,4.16,"Old","1","supratidal"
228,2023-03-11 22:19:00,20.94,145.13,4.16,"Old","1","supratidal"
229,2023-03-11 22:34:00,20.94,145.08,4.16,"Old","1","supratidal"
230,2023-03-11 22:49:00,20.94,145.02,4.16,"Old","1","supratidal"
231,2023-03-11 23:04:00,20.94,144.96,4.17,"Old","1","supratidal"
232,2023-03-11 23:19:00,20.94,144.9,4.17,"Old","1","supratidal"
233,2023-03-11 23:34:00,20.94,144.83,4.17,"Old","1","supratidal"
234,2023-03-11 23:49:00,20.94,144.8,4.17,"Old","1","supratidal"
235,2023-03-12 00:04:00,20.94,144.74,4.17,"Old","1","supratidal"
236,2023-03-12 00:19:00,20.94,144.68,4.17,"Old","1","supratidal"
237,2023-03-12 00:34:00,20.96,144.63,4.17,"Old","1","supratidal"
238,2023-03-12 00:49:00,20.96,144.57,4.17,"Old","1","supratidal"
239,2023-03-12 01:04:00,20.96,144.54,4.17,"Old","1","supratidal"
240,2023-03-12 01:19:00,20.96,144.54,4.17,"Old","1","supratidal"
241,2023-03-12 01:34:00,20.96,144.69,4.17,"Old","1","supratidal"
242,2023-03-12 01:49:00,20.96,144.49,4.17,"Old","1","supratidal"
243,2023-03-12 03:04:00,20.98,144.44,4.18,"Old","1","supratidal"
244,2023-03-12 03:19:00,20.98,144.47,4.17,"Old","1","supratidal"
245,2023-03-12 03:34:00,20.98,144.43,4.18,"Old","1","supratidal"
246,2023-03-12 03:49:00,20.98,144.36,4.18,"Old","1","supratidal"
247,2023-03-12 04:04:00,20.98,144.3,4.18,"Old","1","supratidal"
248,2023-03-12 04:19:00,20.98,144.25,4.18,"Old","1","supratidal"
249,2023-03-12 04:34:00,21.01,144.18,4.18,"Old","1","supratidal"
250,2023-03-12 04:49:00,21.01,144.13,4.18,"Old","1","supratidal"
251,2023-03-12 05:04:00,21.01,144.07,4.18,"Old","1","supratidal"
252,2023-03-12 05:19:00,21.01,144,4.18,"Old","1","supratidal"
253,2023-03-12 05:34:00,21.01,143.94,4.18,"Old","1","supratidal"
254,2023-03-12 05:49:00,21.01,143.88,4.19,"Old","1","supratidal"
255,2023-03-12 06:04:00,21.03,143.82,4.19,"Old","1","supratidal"
256,2023-03-12 06:19:00,21.03,143.77,4.19,"Old","1","supratidal"
257,2023-03-12 06:34:00,21.03,143.71,4.19,"Old","1","supratidal"
258,2023-03-12 06:49:00,21.03,143.65,4.19,"Old","1","supratidal"
259,2023-03-12 07:04:00,21.03,143.6,4.19,"Old","1","supratidal"
260,2023-03-12 07:19:00,21.03,143.54,4.19,"Old","1","supratidal"
261,2023-03-12 07:34:00,21.06,143.47,4.19,"Old","1","supratidal"
262,2023-03-12 07:49:00,21.06,143.24,4.2,"Old","1","supratidal"
263,2023-03-12 08:04:00,21.06,143.04,4.2,"Old","1","supratidal"
264,2023-03-12 08:19:00,21.06,142.96,4.2,"Old","1","supratidal"
265,2023-03-12 08:34:00,21.06,142.93,4.2,"Old","1","supratidal"
266,2023-03-12 08:49:00,21.06,142.89,4.2,"Old","1","supratidal"
267,2023-03-12 09:04:00,21.06,142.83,4.21,"Old","1","supratidal"
268,2023-03-12 09:19:00,21.08,142.8,4.21,"Old","1","supratidal"
269,2023-03-12 09:34:00,21.08,142.79,4.21,"Old","1","supratidal"
270,2023-03-12 09:49:00,21.08,142.74,4.21,"Old","1","supratidal"
271,2023-03-12 10:04:00,21.08,142.68,4.21,"Old","1","supratidal"
272,2023-03-12 10:19:00,21.08,142.63,4.21,"Old","1","supratidal"
273,2023-03-12 10:34:00,21.08,142.58,4.21,"Old","1","supratidal"
274,2023-03-12 10:49:00,21.1,142.54,4.21,"Old","1","supratidal"
275,2023-03-12 11:04:00,21.1,142.47,4.21,"Old","1","supratidal"
276,2023-03-12 11:19:00,21.1,142.43,4.21,"Old","1","supratidal"
277,2023-03-12 11:34:00,21.1,142.38,4.21,"Old","1","supratidal"
278,2023-03-12 11:49:00,21.1,142.52,4.21,"Old","1","supratidal"
279,2023-03-12 12:04:00,21.1,142.5,4.21,"Old","1","supratidal"
280,2023-03-12 12:19:00,21.1,142.44,4.21,"Old","1","supratidal"
281,2023-03-12 12:34:00,21.1,142.39,4.21,"Old","1","supratidal"
282,2023-03-12 12:49:00,21.1,142.33,4.21,"Old","1","supratidal"
283,2023-03-12 13:04:00,21.13,142.32,4.22,"Old","1","supratidal"
284,2023-03-12 13:19:00,21.13,142.25,4.22,"Old","1","supratidal"
285,2023-03-12 13:34:00,21.13,142.19,4.22,"Old","1","supratidal"
286,2023-03-12 13:49:00,21.13,142.13,4.22,"Old","1","supratidal"
287,2023-03-12 14:04:00,21.13,142.08,4.22,"Old","1","supratidal"
288,2023-03-12 14:19:00,21.13,142.02,4.22,"Old","1","supratidal"
289,2023-03-12 14:34:00,21.13,141.96,4.22,"Old","1","supratidal"
290,2023-03-12 14:49:00,21.13,141.91,4.22,"Old","1","supratidal"
291,2023-03-12 15:04:00,21.13,141.85,4.22,"Old","1","supratidal"
292,2023-03-12 15:19:00,21.13,141.8,4.22,"Old","1","supratidal"
293,2023-03-12 15:34:00,21.13,141.74,4.23,"Old","1","supratidal"
294,2023-03-12 15:49:00,21.13,141.69,4.23,"Old","1","supratidal"
295,2023-03-12 16:04:00,21.13,141.63,4.23,"Old","1","supratidal"
296,2023-03-12 16:19:00,21.13,141.58,4.23,"Old","1","supratidal"
297,2023-03-12 16:34:00,21.13,141.52,4.23,"Old","1","supratidal"
298,2023-03-12 16:49:00,21.13,141.47,4.23,"Old","1","supratidal"
299,2023-03-12 17:04:00,21.13,141.41,4.23,"Old","1","supratidal"
300,2023-03-12 17:19:00,21.13,141.35,4.23,"Old","1","supratidal"
301,2023-03-12 17:34:00,21.13,141.29,4.23,"Old","1","supratidal"
302,2023-03-12 17:49:00,21.1,141.22,4.24,"Old","1","supratidal"
303,2023-03-12 18:04:00,21.1,141.16,4.24,"Old","1","supratidal"
304,2023-03-12 18:19:00,21.1,141.11,4.24,"Old","1","supratidal"
305,2023-03-12 18:34:00,21.1,141.05,4.24,"Old","1","supratidal"
306,2023-03-12 18:49:00,21.1,141,4.24,"Old","1","supratidal"
307,2023-03-12 19:04:00,21.1,140.94,4.24,"Old","1","supratidal"
308,2023-03-12 19:19:00,21.1,140.88,4.24,"Old","1","supratidal"
309,2023-03-12 19:34:00,21.1,140.82,4.24,"Old","1","supratidal"
310,2023-03-12 19:49:00,21.1,140.75,4.24,"Old","1","supratidal"
311,2023-03-12 20:04:00,21.1,140.69,4.24,"Old","1","supratidal"
312,2023-03-12 20:19:00,21.1,140.64,4.25,"Old","1","supratidal"
313,2023-03-12 20:34:00,21.08,140.58,4.25,"Old","1","supratidal"
314,2023-03-12 20:49:00,21.08,140.52,4.25,"Old","1","supratidal"
315,2023-03-12 21:04:00,21.08,140.47,4.25,"Old","1","supratidal"
316,2023-03-12 21:19:00,21.08,140.41,4.25,"Old","1","supratidal"
317,2023-03-12 21:34:00,21.08,140.35,4.25,"Old","1","supratidal"
318,2023-03-12 21:49:00,21.08,140.29,4.25,"Old","1","supratidal"
319,2023-03-12 22:04:00,21.08,140.24,4.25,"Old","1","supratidal"
320,2023-03-12 22:19:00,21.08,140.18,4.25,"Old","1","supratidal"
321,2023-03-12 22:34:00,21.08,140.11,4.26,"Old","1","supratidal"
322,2023-03-12 22:49:00,21.08,140.05,4.26,"Old","1","supratidal"
323,2023-03-12 23:04:00,21.08,140,4.26,"Old","1","supratidal"
324,2023-03-12 23:19:00,21.06,139.94,4.26,"Old","1","supratidal"
325,2023-03-12 23:34:00,21.06,139.88,4.26,"Old","1","supratidal"
326,2023-03-12 23:49:00,21.06,139.82,4.26,"Old","1","supratidal"
327,2023-03-13 00:04:00,21.06,139.75,4.26,"Old","1","supratidal"
328,2023-03-13 00:19:00,21.06,139.71,4.26,"Old","1","supratidal"
329,2023-03-13 00:34:00,21.06,139.64,4.26,"Old","1","supratidal"
330,2023-03-13 00:49:00,21.06,139.58,4.26,"Old","1","supratidal"
331,2023-03-13 01:04:00,21.06,139.52,4.27,"Old","1","supratidal"
332,2023-03-13 01:19:00,21.06,139.46,4.27,"Old","1","supratidal"
333,2023-03-13 01:34:00,21.06,139.41,4.27,"Old","1","supratidal"
334,2023-03-13 01:49:00,21.06,139.35,4.27,"Old","1","supratidal"
335,2023-03-13 02:04:00,21.06,139.29,4.27,"Old","1","supratidal"
336,2023-03-13 02:19:00,21.06,139.22,4.27,"Old","1","supratidal"
337,2023-03-13 02:34:00,21.06,139.18,4.27,"Old","1","supratidal"
338,2023-03-13 02:49:00,21.06,139.11,4.27,"Old","1","supratidal"
339,2023-03-13 03:04:00,21.06,139.05,4.27,"Old","1","supratidal"
340,2023-03-13 03:19:00,21.03,138.99,4.28,"Old","1","supratidal"
341,2023-03-13 03:34:00,21.03,138.94,4.28,"Old","1","supratidal"
342,2023-03-13 03:49:00,21.03,138.88,4.28,"Old","1","supratidal"
343,2023-03-13 04:04:00,21.03,138.83,4.28,"Old","1","supratidal"
344,2023-03-13 04:19:00,21.03,138.77,4.28,"Old","1","supratidal"
345,2023-03-13 04:34:00,21.03,138.72,4.28,"Old","1","supratidal"
346,2023-03-13 04:49:00,21.03,138.68,4.28,"Old","1","supratidal"
347,2023-03-13 05:04:00,21.03,138.61,4.28,"Old","1","supratidal"
348,2023-03-13 05:19:00,21.03,138.55,4.28,"Old","1","supratidal"
349,2023-03-13 05:34:00,21.03,138.5,4.28,"Old","1","supratidal"
350,2023-03-13 05:49:00,21.03,138.46,4.29,"Old","1","supratidal"
351,2023-03-13 06:04:00,21.03,138.39,4.29,"Old","1","supratidal"
352,2023-03-13 06:19:00,21.03,138.35,4.29,"Old","1","supratidal"
353,2023-03-13 06:34:00,21.03,138.3,4.29,"Old","1","supratidal"
354,2023-03-13 06:49:00,21.03,138.22,4.29,"Old","1","supratidal"
355,2023-03-13 07:04:00,21.03,138.18,4.29,"Old","1","supratidal"
356,2023-03-13 07:19:00,21.01,138.13,4.29,"Old","1","supratidal"
357,2023-03-13 07:34:00,21.01,138.08,4.29,"Old","1","supratidal"
