sampleID,sample_date,sample_time,area,transect,plot,medium,depth,pH,SpC,ORP,temp,DOC,TC,Cl,SO4,NH4,SRP,NO3,Fe_II,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
CoBRA2023-11,3/8/23,13:05,WLD,young,2,WI,30,6.98,335,-115,30.2,8.185,33.38,17.45,4.51,,,,12.5,4.248366552,17.09627621,1.167411292,48.52754921,14.36584617,0.009755891,19416.63134,7.692928561,21659.53961,992.0561517,0.328504015,0.079877169,3753.20271,15206.53231,0.542780537,0.556808021,0.40201757,0.950408928,6.192881555,0.210525279,156.4288125,0.092818329,0.332335006,-0.004672672,0.001890198,0.003898717,0.07507628,115.7319225,0.049545515,0.013393804,0.115160377,0.060858494,0.0139384,0.001681842,0.018466161,0.012545043,0.002147794,0.008034052,0.000466779,0.007223077,0.00053383,-0.000147271,0.016631567,0.010649658,0.031142769
CoBRA2023-12,3/8/23,13:20,WLD,young,2,WI,50,6.94,413,-87,29.8,7.794,55.743,18.81,1.26,,,,18.75,5.017868567,23.50318979,1.435630844,59.33556105,17.05429186,0.013684723,25383.14766,7.566345042,27624.95034,636.2358576,0.276508604,0.102205365,4563.492295,21657.85181,0.319203697,0.219770561,0.347587682,2.871745135,5.589448278,0.249055562,198.5205615,0.098444645,0.058953753,-0.007330565,0.000727884,0.001190004,0.057673456,119.3378803,0.043403605,0.011067206,0.091888444,0.053266377,0.012739815,0.001587791,0.015875499,0.01147296,0.002462523,0.007366929,0.000488834,0.007204648,0.00060589,3.54E-06,0.00374262,0.007923839,0.013900693
CoBRA2023-13,3/8/23,13:44,WLD,young,1,WI,10,7.4,298,21,27.4,4.566,26.346,14.11,18.95,,,,0.25,0.906893782,0.202839025,0.259759239,44.57191922,15.99975048,0.001280337,19878.87254,2.686302446,13857.05768,1798.503352,0.718940525,0.015040423,640.9119493,27.49068957,0.600502051,1.158976574,0.499129997,1.24274841,1.816804154,0.214275584,131.2638294,0.051694907,0.44400664,-0.007800821,0.020500949,-0.002539014,0.102982779,77.81166684,0.027941601,0.007613245,0.06061076,0.036146709,0.007725053,0.000789965,0.011243974,0.007394829,0.001073967,0.004479715,0.000132959,0.005212059,0.000324231,0.004115072,4.24E-05,0.000143057,0.175922407
CoBRA2023-14,3/8/23,13:49,WLD,young,4,WI,10,7.5,125,31,28.8,8.001,29.936,21.28,16.09,,,,0.75,2.031553504,0.571468466,0.01907738,37.54658071,9.817941068,0.006805347,17766.13841,5.614533975,4257.962432,3416.981398,1.55645244,0.031577134,1735.023986,325.8900522,0.460271748,1.015139982,1.099325008,0.883520567,5.445198245,0.445257578,123.0000346,0.080967919,1.219403005,-0.007018913,0.003026763,0.021232399,0.211980861,111.7530954,0.060552603,0.016130578,0.140092501,0.071432295,0.015540791,0.001753073,0.019713761,0.01214882,0.00180894,0.007053705,0.000367199,0.00558452,0.000399283,0.000220548,0.022439576,0.005915991,0.381895944
CoBRA2023-15,3/8/23,14:10,WLD,young,1,WI,20,7.23,314,35,28.8,5.574,36.44,13.56,14.15,,,,2,2.186541785,1.790879474,0.113295917,41.41367245,14.56221137,0.002195368,19343.9333,2.562021121,11962.92308,1275.345632,0.940847098,0.035777882,2050.432816,1651.010141,1.749047028,1.776966304,0.269046371,2.068702021,3.299065376,0.132336812,129.3753055,0.057469423,0.459853128,-0.006545273,0.007241732,0.004560009,0.087898665,90.34926488,0.028810788,0.007381533,0.033619752,0.036305695,0.015102389,0.001702611,0.01566868,0.010793962,0.00209254,0.007858087,0.001296565,0.009444057,0.00146875,0.003206589,0.00452433,0.006342298,0.17600509
CoBRA2023-16,3/8/23,14:28,WLD,young,1,WI,30,7.02,378,-60,28.7,6.571,48.413,12.09,4.1,,,,4.75,6.170782245,7.266389507,0.101164775,60.54784252,21.38837675,0.003971877,26558.12666,3.256000421,15962.63399,515.2344931,0.74767915,0.046468379,5771.873232,6980.686835,2.207294128,1.760112193,0.163246463,2.106208218,6.339597214,0.249197653,195.7187091,0.072047825,0.44838191,-0.007638659,0.003516747,0.004585256,0.115186752,143.7627516,0.024168125,0.005800813,0.055779286,0.026617321,0.006893035,0.000810384,0.010290149,0.008130722,0.001447712,0.005824769,0.000151952,0.005604281,0.000346598,-7.79E-05,0.00296637,0.005720504,0.571012763
CoBRA2023-17,3/8/23,14:52,WLD,young,1,WI,50,6.83,248,-62,27.3,8.09,73.118,19.65,1.55,,,,28.75,7.088626772,33.43853418,1.483387106,76.86204353,22.56659336,0.014428093,31816.94535,9.168898718,23546.63996,384.1878471,0.312451128,0.102747457,6450.443389,31411.24793,0.4026114,0.307174282,0.317955878,3.388809202,5.872452528,0.314506251,260.167611,0.110644852,0.060700606,-0.00703667,0.00178455,0.006386312,0.069988496,152.3967462,0.038045478,0.00940679,0.083752284,0.045819947,0.010521844,0.001516603,0.015165393,0.01454854,0.002337925,0.007874551,0.000796936,0.006821028,0.000678974,-7.57E-05,0.015160095,0.005951579,0.026682042
CoBRA2023-18,3/9/23,11:19,WLD,old,1,WI,10,6.86,845,15,30.8,14.74,98.436,50.35,9.04,,,,3.5,2.747433771,0.971535242,0.130036893,62.36157067,28.33298717,0.013656135,,7.240332846,22382.98601,861.0770576,2.284200634,0.108343265,2600.24221,792.2767584,5.684577059,8.513937759,0.439595901,3.603898289,5.490799357,0.644046295,211.9559955,0.185694033,1.336089533,-0.005252372,0.010716189,0.001061616,0.208476536,161.7964155,0.095486561,0.025213316,0.213176466,0.114415141,0.026843573,0.004166739,0.03270221,0.024834244,0.00453408,0.014259049,0.001458199,0.01285848,0.00158117,0.002639558,0.024222799,0.007535969,0.628382827
CoBRA2023-19,3/9/23,11:32,WLD,old,1,WI,20,6.8,753,-39,30,16.8,117.432,59.15,9.29,,,,9.75,3.656528076,11.95866362,0.461621444,67.91229505,36.18173646,0.027066832,,21.85482805,20580.10645,1483.524619,1.10179404,0.166327445,3453.828108,11263.93245,8.441694567,10.62165481,0.613662401,4.018198448,12.54905357,0.861593009,239.9453923,0.257527327,2.793551332,-0.008086859,0.008122296,-0.004191194,0.164311801,143.370622,0.166671937,0.044663357,0.382273868,0.210157555,0.044788301,0.005932314,0.051522952,0.036887848,0.006345865,0.020555093,0.002239359,0.016699979,0.002305072,0.002351023,0.017204102,0.009751826,0.315999766
CoBRA2023-20,3/9/23,11:36,WLD,old,1,WI,30,6.79,749,-47,29,16.52,115.705,68.24,6.42,,,,16,3.822330856,19.22128755,1.188600353,65.82592723,32.05267146,0.015689504,,3.103394481,21372.04118,2134.702715,0.879487424,0.14482511,3635.412193,18425.41746,2.872077014,4.794364812,0.118410617,3.959745687,12.15753425,0.643246679,237.5394106,0.191085069,1.401365182,-0.007860077,0.004530458,-0.004620631,0.14393996,159.8096892,0.108430608,0.028301219,0.235033628,0.136870768,0.030960579,0.00419482,0.035951792,0.024239428,0.004699359,0.01392097,0.001255476,0.011880461,0.001371931,-2.72E-05,-0.009982404,0.007128114,0.16049179
CoBRA2023-21,3/9/23,11:44,WLD,old,1,WI,50,6.9,885,-68,28.3,16.5,123.859,104.69,0.69,,,,29.5,5.831978788,38.18494296,2.6548915,81.24689893,34.74550411,0.020374307,,3.757672837,31419.75733,2479.61497,0.713460692,0.16176996,5492.673194,36190.78547,0.670233132,0.963718903,0.078324529,1.652919474,21.93749813,0.774320506,247.5104971,0.124503783,0.189641938,-0.007620646,0.005186268,-0.004356733,0.119295341,126.5438396,0.026670885,0.007119159,0.04997275,0.038225184,0.010325334,0.001767898,0.016851588,0.013940746,0.002579544,0.010191372,0.000844932,0.0089697,0.00119452,-0.000223861,-0.001395048,0.00541579,0.038175352
CoBRA2023-22,3/9/23,12:08,WLD,old,2,WI,10,6.78,598,-34,30.8,12.45,70.057,35.99,1.5,,,,4.25,4.270526876,8.483009513,0.195342875,63.72999689,24.46588647,0.018004167,45924.99455,5.13223121,21282.2957,927.7597893,1.759206744,0.127035913,4189.26614,8169.409248,5.536203151,6.685150189,0.342005094,2.916779718,6.317536077,0.539310141,214.6429377,0.247561319,0.771008775,-0.007906333,0.006678031,-0.001388249,0.145732824,184.7787906,0.144215286,0.038874109,0.332561205,0.179376787,0.042765118,0.005533866,0.050002931,0.032908095,0.006552132,0.019159218,0.002105454,0.016645479,0.002123141,0.0042725,0.019499617,0.011094168,0.777219271
CoBRA2023-23,3/9/23,12:20,WLD,old,2,WI,20,6.71,607,-43,29.1,11.85,65.673,40.54,0,,,,19.25,4.300065176,30.08098917,1.63251928,55.45794912,21.08217468,0.020615056,,3.397725204,24090.72812,445.3120042,0.883978572,0.148991077,3964.118066,27905.36638,0.87641837,1.258900332,0.073673041,2.049692754,8.151451916,0.41398187,191.7023279,0.180351652,0.399696095,-0.008262342,0.002730859,-0.00178742,0.083881375,164.1365897,0.082011331,0.021621338,0.190442538,0.105220746,0.025176244,0.003693801,0.034648962,0.024847633,0.004739818,0.01464712,0.001322094,0.011439717,0.001312076,0.000133003,-0.00060408,0.00839622,0.108383772
CoBRA2023-24,3/9/23,12:25,WLD,old,2,WI,30,6.71,633,-38,28.3,10.69,65.212,43.89,0,,,,17.75,4.666806871,34.30112559,1.899000035,54.40077027,20.20647573,0.018066486,,3.156715551,27582.487,484.3851375,0.692525718,0.142870386,4480.384673,32792.87271,0.408517461,0.504145986,0.056296495,2.265179142,5.404707014,0.335002351,190.5631421,0.182333273,0.090319883,-0.007547079,0.001550213,-0.003594208,0.070595455,168.8288804,0.055473309,0.014918445,0.110937725,0.076957578,0.020477512,0.003421691,0.031647101,0.023695315,0.004966545,0.014575276,0.001428843,0.013275954,0.001481833,-0.000225151,-0.007164991,0.008412153,0.039824836
CoBRA2023-25,3/9/23,12:35,WLD,old,2,WI,50,6.6,674,-24,28,10.38,70.969,47.9,0,,,,22,4.888383823,29.65212908,2.198396622,59.39063735,21.45916312,0.018849379,,5.04643651,28432.71648,203.6053621,0.516523881,0.444107056,4670.420997,28178.71665,0.324006482,0.399758954,0.183044914,4.233948538,2.751080774,0.324010268,195.409721,0.143096885,0.033102813,-0.006698757,0.008076918,-0.000657783,0.061413518,154.3131951,0.025570627,0.007140349,0.04788137,0.046284653,0.01104851,0.002187672,0.02133221,0.018176559,0.003150293,0.011181027,0.001081647,0.009225432,0.001355404,-0.000300723,0.008034197,0.004581394,0.010743059
CoBRA2023-26,3/9/23,12:50,WLD,old,3,WI,10,6.82,552,-26,27.8,10.62,58.957,33.8,0,,,,14,3.239280809,17.22517921,0.500966782,52.95962632,19.99805842,0.012088525,,3.73162569,20590.15416,1171.524355,1.22153056,0.100535788,3100.725969,16308.01003,2.448680029,3.227525771,0.166594815,3.781845738,6.414173683,0.546247009,188.8673976,0.14780066,0.621030559,-0.007218042,0.001504403,0.000631265,0.098758658,163.0392061,0.077319182,0.019510362,0.167487715,0.096639505,0.022625265,0.002947906,0.027484275,0.01818601,0.00350317,0.012155557,0.00101064,0.00934315,0.001014721,0.001066826,0.00351135,0.006696682,0.262659027
CoBRA2023-27,3/9/23,13:06,WLD,old,3,WI,20,6.85,530,-21,26.7,9.395,56.549,36.13,0,,,,12.25,3.206465708,17.2524016,0.258707874,47.27627687,17.66074669,0.009135617,50752.67886,7.478121324,21882.93981,792.5244544,0.902295148,0.088731456,2951.288527,15813.67898,0.442293644,0.685883201,43.43507818,1.411690432,4.164109957,0.330069188,164.1434364,0.060890519,0.22208569,-0.008313704,0.00429001,0.010656318,0.093972788,150.8426943,0.016061555,0.004243153,0.036822562,0.024255954,0.006383322,0.000738739,0.01048645,0.006849743,0.001123363,0.00437585,7.58E-05,0.004754009,0.000140035,-0.000353304,-0.003087687,0.004453291,0.12092698
CoBRA2023-28,3/9/23,13:20,WLD,old,3,WI,30,6.74,577,-26,27.4,9.445,59.13,41.54,0,,,,18.5,3.962495895,24.09604214,0.429959163,49.65288499,17.93974002,0.010412091,,3.561229641,27306.26504,500.8536054,0.784338408,0.091657413,3693.519912,22007.76619,0.371084315,0.403663874,0.085524445,3.105103615,2.423043702,0.388398244,171.9636454,0.056049113,0.063008445,-0.007576422,0.00188032,-0.004381682,0.067222849,130.3922989,0.011953155,0.003134544,0.026860107,0.018385847,0.005160056,0.000549596,0.008006117,0.006490038,0.001101121,0.004348542,0.000207063,0.004708055,0.000295003,-0.000458031,-0.006099261,0.004521037,0.033683995
CoBRA2023-29,3/9/23,13:32,WLD,old,3,WI,50,6.85,596,-40,26.5,10.22,68.781,48.72,0,,,,17.5,3.922921434,18.7256721,0.273912238,55.55439907,18.64365805,0.006676141,,3.648020512,28971.02038,387.7608613,1.13960827,0.140784532,3988.742599,18956.00664,0.427134089,0.413569496,0.212134807,1.569114297,3.775576331,0.543696211,182.7610359,0.087827227,0.139949222,-0.008334212,-0.000518059,0.002785679,0.178719868,257.0785249,0.025895115,0.005942488,0.049638752,0.030858896,0.008754987,0.00118001,0.011487832,0.009686545,0.001803596,0.006091238,0.000372043,0.006034872,0.000621424,-0.000513137,0.002764206,0.008853756,0.069576602
CoBRA2023-30,3/9/23,13:45,WLD,old,4,WI,10,7.04,1456,-134,26.7,12.55,132.302,107.25,0,,,,35,11.01877159,41.19490128,1.395678949,207.200296,57.48660604,-0.011856105,74364.45781,5.170375253,37552.89396,2069.940003,0.49081273,0.129542853,11243.5165,43012.10141,0.903691166,-0.068921984,0.265945466,-0.965877953,89.34475436,0.826184295,870.0028674,0.076217447,0.067421942,-0.043428761,-0.002772512,0.00059426,0.109720814,395.2250623,0.010814987,-0.00013454,0.015168651,0.011136008,0.001514221,-0.002279541,0.002111541,0.00358454,-0.001945404,0.002084347,-0.00221247,0.002551928,-0.001505456,0.001478442,-0.072176756,-0.000862452,0.035101362
CoBRA2023-31,3/9/23,14:00,WLD,old,4,WI,30,7,1110,-111,27,13.04,148.516,87.49,0,,,,27.75,10.25722932,33.50624739,2.656104614,180.9071884,51.24787118,-0.004751845,68814.45193,3.980231843,36531.59021,4232.156555,0.282116444,0.085155716,10297.17304,33863.91352,0.830029674,-0.058009718,0.199678451,-1.255599944,32.34922714,1.195642565,679.7040152,0.106273286,-0.01458585,-0.040465173,-0.002785666,0.003131233,0.081205595,300.6999312,0.014595215,0.000628726,0.032973802,0.018636475,0.003549166,-0.001209782,0.007733861,0.007206732,-0.000648738,0.004658472,-0.00225142,0.00443289,-0.001173886,0.001187254,-0.069500083,-0.001014519,3.08E-05
CoBRA2023-32,3/9/23,14:15,WLD,old,4,WI,20,7.04,1386,-126,26.4,13.25,154.56,133.19,0,,,,33,11.18469217,43.50502619,1.694954225,212.5015082,59.38378138,-0.000804177,71203.26984,3.492532622,34964.19317,2032.035748,0.461775116,0.119926402,10942.34354,42519.31329,0.918511603,-0.043263707,0.224696317,-0.954958639,98.70335852,1.53032559,842.0235531,0.092830748,0.029815635,-0.039385871,-0.002485235,-0.002814973,0.100043628,375.7860349,0.017202542,0.001767941,0.037157515,0.019725393,0.003339159,-0.002060428,0.006197557,0.006081626,-0.001060965,0.002900268,-0.001925236,0.003834997,-0.001756537,0.000820542,-0.059515102,-0.001411796,0.019228953
CoBRA2023-33,3/9/23,14:40,WLD,old,4,WI,50,7.18,1507,-138,26.3,13.38,168.183,98.55,0,,,,34,11.18462767,42.43454647,2.271223912,216.9643188,59.51027306,-0.003503651,73314.84259,4.630107221,35166.86667,2518.673402,0.552064089,0.158696418,11189.14422,43099.87298,0.975834267,-0.052246805,0.473029557,-1.392411671,95.16493855,1.178010025,850.0312356,0.12970135,0.031178957,-0.040961966,-0.000321872,0.002296783,0.092178445,379.3850216,0.025813153,0.003909355,0.055580598,0.024529756,0.004275282,-0.001584042,0.007637863,0.009074953,-0.000264895,0.006004536,-0.001889231,0.005404523,-0.00105702,0.002068824,-0.061589332,-0.000585551,0.008130089
CoBRA2023-34,3/9/23,15:12,WLD,old,5,WS,0,7.51,354,-8,30.9,12.9,38.599,20.09,1.19,,,,2.25,2.664759482,3.168304867,0.54383015,39.62917884,11.0095094,0.011228984,24012.81381,5.324304905,9483.972429,2094.921296,0.57646975,0.066176928,2497.436413,2903.500971,0.548792688,1.266349609,0.529366184,0.583927523,5.512900251,0.339183463,139.8637679,0.105217137,0.401479316,-0.007814919,0.004224688,0.013338919,0.082330149,82.87630715,0.086882762,0.023360154,0.198837837,0.104150371,0.025138625,0.002701419,0.026141369,0.018889159,0.002899438,0.009764052,0.000716983,0.008221599,0.000475786,0.000436041,0.033470225,0.011073826,0.086474517
CoBRA2023-35,3/9/23,15:19,WLD,old,5,WI,10,7.01,1120,-83,29.2,15.24,138.346,62.78,0,,,,16.75,6.921690175,22.35933818,2.37037578,146.6763782,41.48239751,-0.008033962,60213.95946,8.204665798,28705.56307,6496.582104,0.131094123,0.058953871,7008.479327,22312.45722,1.17563411,0.045330752,0.282434722,-0.885741435,0.910442886,1.300214271,523.8382571,0.097997526,-0.007360972,-0.037465748,-0.003850966,0.000356188,0.112072061,329.5673575,0.025818985,0.004012727,0.047648279,0.031857433,0.005886529,-0.001483977,0.010637763,0.009027479,-0.000713213,0.004449567,-0.002371375,0.002411704,-0.001534599,-2.45E-05,-0.050516698,0.002414203,0.019062381
CoBRA2023-36,3/9/23,15:26,WLD,old,5,WI,20,6.99,1380,-104,29.5,18.37,168.087,73.93,0,,,,23,8.735661747,28.21428918,2.546156029,179.9765941,51.91917901,-0.036023367,85184.4439,21.58119713,30116.17754,7398.399456,0.2340269,0.089556639,8020.492081,33806.71661,1.750892087,-0.22450336,0.320899734,-3.426226962,2.947782198,0.74918945,765.9129127,0.145100628,-0.042339662,-0.077275554,-0.012170944,0.001878787,0.155339233,325.8887468,0.038809982,0.005216479,0.112118731,0.033697347,0.009995132,-0.003636005,0.009116671,0.007763175,-0.002641957,0.003914898,-0.00470207,0.005262525,-0.004438795,0.001850379,-0.137200522,0.000499273,0.009518548
CoBRA2023-37,3/9/23,15:34,WLD,old,5,WI,30,7.02,1384,-97,29.4,18.92,164.537,88.32,0,,,,21.5,8.9401093,29.26103957,2.560551651,187.192346,53.39396402,-0.002942849,73524.00218,7.026800388,33569.10503,5779.475697,0.199847922,0.059608293,8654.829429,28608.03402,1.460462051,-0.010300592,0.162654752,-1.116756879,4.368648485,1.288260049,650.825979,0.105889375,-0.013429133,-0.041366011,-0.001583326,-0.002806742,0.088571118,394.4441364,0.01617786,0.00118265,0.059425129,0.021109353,0.002988875,-0.00181611,0.007498703,0.006526555,-0.000667205,0.005189321,-0.001839829,0.003758932,-0.000862617,0.000746815,-0.071767714,-0.000930267,0.004219955
CoBRA2023-38,3/9/23,15:41,WLD,old,5,WI,50,7,2150,-129,29.3,25.41,275.442,159.64,0,,,,28.75,10.98634713,43.78021686,1.898838286,300.0354887,85.42698504,0.003682099,140070.3444,2.995196422,32551.59033,3499.515746,0.531154277,0.109092548,11384.01929,45739.53926,1.852300575,0.061754656,0.164535298,-0.976485846,88.10829094,2.010296256,1297.101387,0.128020056,0.021291118,-0.041186792,0.005122635,-0.000170044,0.085295964,605.013924,0.021820428,0.002456247,0.037413205,0.020006086,0.003657216,-0.001377903,0.008066113,0.006634701,-0.000422495,0.005600162,-0.002044866,0.003706013,-0.001093754,0.003038215,-0.068180579,-0.000971888,0.009391473
CoBRA2023-39,3/9/23,15:57,WLD,old,6,WS,0,7.37,370,-55,28.2,12.94,39.98,10.12,0.68,,,,3.75,2.471075913,4.171829216,0.601412638,40.10018653,11.07869211,0.006860198,25641.44361,9.673939611,9533.628103,2450.235809,0.417522253,0.064512357,2412.889686,4042.149936,0.53844257,1.052164176,0.212520041,0.942735764,5.586851681,0.461483494,145.680635,0.101412405,0.303944708,-0.007799137,0.002029631,0.005048768,0.088040532,81.54169881,0.081656311,0.023032958,0.185387578,0.097054333,0.020994027,0.002711909,0.024580524,0.0165349,0.003016934,0.009451194,0.000682275,0.00757844,0.000542034,-3.25E-05,0.019042597,0.007657554,0.058650936
